isin,name,pm,settore,score,stato,prezzo,spread_pct,prezzo_limite,data_chiusura
US2641471097,Ducommun,M,defense,89.6,ALT,163.0138,0,0,02/07/2026
JP3352400000,Citizen Watch,M,em_asia,87.5,ALT,13.0352,0,0,03/07/2026
US25525P1075,Diversified Hlthc.,M,other,87.5,ALT,8.0633,0,0,02/07/2026
JP3678000005,Nisshinbo Holdings,M,em_asia,86.7,,13.4417,0,0,03/07/2026
CNE1000004L9,Weichai Power,M,other,86.4,,3.9556,0,0,03/07/2026
US45662N1037,Infineon (ADR),M,semiconductors,86.1,,75.2869,0,0,02/07/2026
JP3802720007,Ferrotec Holdings,M,semiconductors,85.7,,50.2978,0,0,03/07/2026
US6549022043,Nokia (ADR),M,us_tech,85.7,,10.5444,0,0,02/07/2026
US92537N1081,Vertiv,P,other,85.2,TOP-5,262.543,0,0,02/07/2026
US5184151042,Lattice Semiconductor,P,semiconductors,85.1,,119.2726,0,0,02/07/2026
US3023011063,EZCORP,P,finance,84.3,,31.0914,0,0,02/07/2026
US3665051054,Garrett Motion,M,other,84.3,,27.7368,0,0,02/07/2026
JP3385820000,GS Yuasa,M,em_asia,83.6,,36.5147,0,0,03/07/2026
CA4957802073,Kingman Minerals,M,energy,82.9,,59.3524,0,0,02/07/2026
US50012A1088,Kodiak Gas Services,M,energy,82.9,,59.3524,0,0,02/07/2026
US24665A1034,Delek US Holdings,M,energy,82.8,,45.9601,0,0,02/07/2026
US0420682058,ARM (ADR),P,semiconductors,82.6,,275.4286,0,0,02/07/2026
US31188V1008,Fastly (A),M,us_tech,82.2,,15.8384,0,0,02/07/2026
US7404441047,Preformed Line Products,M,other,82.1,,322.1575,0,0,02/07/2026
JP3249600002,Kyocera,M,em_asia,82.0,,21.2248,0,0,03/07/2026
US1925761066,Cohu,M,semiconductors,82.0,,51.7783,0,0,02/07/2026
JP3194000000,Oki Electric Industry,M,us_tech,81.7,,18.5636,0,0,03/07/2026
US8618961085,StoneX,M,finance,81.6,,105.3125,0,0,02/07/2026
US6877931096,"Oscar Health Inc. Reg. Shares Cl.A DL -,00001",M,healthcare,81.5,,28.1124,0,0,02/07/2026
IE00B56GVS15,Alkermes,M,healthcare,81.4,,47.6811,0,0,02/07/2026
US7291321005,Plexus,M,semiconductors,81.2,,240.3361,0,0,02/07/2026
US5352191093,Lindblad Expeditions,M,other,80.7,,22.9058,0,0,02/07/2026
US0021211018,A10 Networks,M,us_tech,80.0,,31.7117,0,0,02/07/2026
US5786051079,Mayville Engineering,M,other,80.0,,29.3093,0,0,02/07/2026
JP3853000002,Horiba,M,us_tech,79.3,,149.9992,0,0,03/07/2026
US6078281002,Modine Manufacturing,P,other,79.3,,201.7754,0,0,02/07/2026
US5763231090,MasTec,P,other,79.1,TOP-5,326.2285,0,0,02/07/2026
NL0000226223,STMicroelectronics,M,semiconductors,78.8,,62.57,0,0,03/07/2026
US83417M1045,SolarEdge Technologies,M,us_tech,78.8,,45.7592,0,0,02/07/2026
JP3497800007,DAIHEN,M,em_asia,78.7,,92.1404,0,0,03/07/2026
CA14875E1025,CAT Strategic Metals,M,canadian,78.5,,841.7399,0,0,02/07/2026
US1491231015,Caterpillar,M,other,78.5,,841.7399,0,0,02/07/2026
US53220K5048,Ligand Pharmaceuticals,M,healthcare,78.5,,279.1589,0,0,02/07/2026
US6402683063,Nektar Therapeutics Registered Shares New o.N.,M,healthcare,78.1,,62.0605,0,0,02/07/2026
SGXE34184239,Seatrium Ltd,M,semiconductors,77.8,,59.7106,0,0,02/07/2026
US4834971032,KalVista Pharma.,M,healthcare,77.8,,23.5872,0,0,12/06/2026
US8610121027,STMicroelectronics (ADR),M,semiconductors,77.8,,59.7106,0,0,02/07/2026
US2925541029,Encore Capital,M,finance,77.4,,79.1569,0,0,02/07/2026
JP3742600004,NHK Spring,M,em_asia,76.9,,22.195,0,0,03/07/2026
JP3166000004,Ebara,P,em_asia,76.8,TOP-5,32.8616,0,0,03/07/2026
JP3919800007,Meidensha,M,em_asia,76.7,,53.0078,0,0,03/07/2026
US49926D1090,Knowles,M,semiconductors,76.4,,32.131,0,0,02/07/2026
US46269C1027,Iridium,M,us_tech,76.2,,46.956,0,0,02/07/2026
CA18452Y1007,Clean Air Metals,M,defense,75.9,,122.4001,0,0,02/07/2026
EE3100092792,Airobot Technologies AS,M,defense,75.9,,122.4001,0,0,02/07/2026
IL0011407140,UroGen Pharma,M,healthcare,75.9,,33.2143,0,0,02/07/2026
NZAIRE0001S2,Air New Zealand,M,defense,75.9,,122.4001,0,0,02/07/2026
US0003611052,AAR,M,defense,75.9,,122.4001,0,0,02/07/2026
US01741R1023,ATI,M,other,75.9,,164.3242,0,0,02/07/2026
JP3738600000,NGK SPARK PLUG,M,em_asia,75.7,,59.5661,0,0,03/07/2026
JP3879250003,Maruwa,M,semiconductors,75.7,,399.4558,0,0,03/07/2026
US0193301092,Allied Motion,M,semiconductors,75.7,,75.9071,0,0,02/07/2026
GB00BKPG0138,"Seraphim Space Investment Trus Registered Shares LS -,01",M,thematic,75.5,,225.8075,0,0,03/07/2026
DE000A0D6554,Nordex,P,european,75.2,,46.76,0,0,03/07/2026
LU0075646355,Subsea 7,M,energy,75.2,,29.9553,0,0,03/07/2026
